Duration,Start station number,Start station,End station number,End station,Bike Number,Member Type
950,31293,31st & Water St NW,31080,Lee Hwy & N Scott St,W23491,Member
310,31401,14th St & Spring Rd NW,31124,14th & Irving St NW,W23478,Member
243,31615,6th & H St NE,31623,Columbus Circle / Union Station,W20202,Member
518,31615,6th & H St NE,31622,13th & D St NE,W21223,Member
500,31615,6th & H St NE,31622,13th & D St NE,W00509,Member
93,31081,Duke St & John Carlyle St,31048,King St Metro South,W00920,Member
307,31616,3rd & H St NE,31614,11th & H St NE,W21595,Member
3289,31205,21st & I St NW,31249,Jefferson Memorial,W22741,Member
339,31114,18th St & Wyoming Ave NW,31202,14th & R St NW,W01129,Member
440,31509,New Jersey Ave & R St NW,31280,11th & S St NW,W23024,Member
950,31643,1st & D St SE,31265,5th St & Massachusetts Ave NW,W22905,Member
3097,31205,21st & I St NW,31249,Jefferson Memorial,W00068,Casual
71,31098,King St Metro North / Cameron St,31048,King St Metro South,W00873,Member
175,31037,Ballston Metro / N Stuart & 9th St N,31919,Carlin Springs Rd & N Thomas St,W21139,Member
1785,31623,Columbus Circle / Union Station,31803,Good Hope Rd & 14th St SE,W21047,Casual
706,31202,14th & R St NW,31212,21st & M St NW,W21030,Member
2522,31640,Maryland Ave & E St NE,31641,2nd St & Massachusetts Ave NE,W21850,Casual
613,31126,11th & Girard St NW,31506,1st & Rhode Island Ave NW,W01035,Member
713,31286,11th & O St NW,31251,12th & L St NW,W20605,Casual
750,31228,8th & H St NW,31203,14th & Rhode Island Ave NW,W00376,Member
2490,31640,Maryland Ave & E St NE,31641,2nd St & Massachusetts Ave NE,W20904,Casual
703,31228,8th & H St NW,31203,14th & Rhode Island Ave NW,W23035,Casual
1712,31608,8th & Eye St SE / Barracks Row,31608,8th & Eye St SE / Barracks Row,W01351,Casual
1694,31608,8th & Eye St SE / Barracks Row,31608,8th & Eye St SE / Barracks Row,W20510,Casual
534,31098,King St Metro North / Cameron St,31085,Mount Vernon Ave & E Nelson Ave,W21768,Member
2381,31640,Maryland Ave & E St NE,31641,2nd St & Massachusetts Ave NE,W23135,Casual
446,31214,17th & Corcoran St NW,31286,11th & O St NW,W23326,Member
102,31283,14th & L St NW,31251,12th & L St NW,W21003,Member
6792,31280,11th & S St NW,31506,1st & Rhode Island Ave NW,W22054,Member
240,31100,19th St & Pennsylvania Ave NW,31233,17th & K St NW / Farragut Square,W20159,Member
343,31111,10th & U St NW,31116,California St & Florida Ave NW,W23489,Member
1081,31251,12th & L St NW,31514,Hamlin & 7th St NE,W20492,Member
